"","tasa_desocup_h","tasa_participacion_h"
"1",0.0744583549749259,0.69902296326272
"2",0.0838350834088273,0.68228021740024
"3",0.089377971151838,0.668668934631914
"4",0.0820876029156343,0.677471607158272
"5",0.083222049928815,0.681779265712141
"6",0.0834029061334849,0.686230647661419
"7",0.0828992146381676,0.694772076495178
"8",0.0685354481038684,0.691938566307622
"9",0.0567401323814394,0.691652302953089
"10",0.0521274903611023,0.689598333297886
"11",0.0531986339761799,0.694018812133719
"12",0.0543328833774892,0.701062636052703
"13",0.0589846436384503,0.701618729744057
"14",0.0555957855662563,0.697491089545855
"15",0.0584303035808013,0.694522674911968
"16",0.0585898673402175,0.700575795493949
"17",0.068304169167227,0.701034998786893
"18",0.0724025066360839,0.692680339958459
"19",0.0720104829246594,0.686729510465295
"20",0.0674039468196811,0.681958598488919
"21",0.0603591491414105,0.677468868692061
"22",0.0538851520531535,0.675141630639358
"23",0.050570715013972,0.688847938406212
"24",0.0572218496476778,0.697523956012863
"25",0.0609653342523262,0.700249243341438
"26",0.0652236457956274,0.691951847878326
"27",0.0634936665604973,0.68650089502067
"28",0.0698719332412781,0.682614164971539
"29",0.0709787288248177,0.684570756463547
"30",0.0705542960841171,0.686619520002331
"31",0.0668268512599707,0.698132449649657
"32",0.0675780817707745,0.697501606548698
"33",0.0605045880636559,0.700494939467046
"34",0.0563677892727657,0.687889155489398
"35",0.0509875098362583,0.693453323767006
"36",0.05580983077476,0.690005364595229
"37",0.0619700604460069,0.693838768782901
"38",0.0600374054414159,0.688038589095797
"39",0.0588555226050676,0.688137705964734
"40",0.0538829580468448,0.678988117360243
"41",0.0569321519896581,0.66796849684576
"42",0.0613070791587556,0.666472903380436
"43",0.0642030707815217,0.664649076188748
"44",0.0656727658732525,0.662479296428207
"45",0.0633436495693134,0.664116286232123
"46",0.061095027062825,0.667116880989111
"47",0.0616017131106849,0.668283752346474
"48",0.0654280832640127,0.667020315470241
"49",0.0739863285171131,0.660588690329865
"50",0.0729836550974617,0.665764438764367
"51",0.0669491737420116,0.668381148664709
"52",0.0697835475977598,0.659486065602708
"53",0.0728270333346816,0.650845833987075
"54",0.0783117533877034,0.641645682927816
"55",0.0744612085821472,0.649974745813382
"56",0.0769894511800954,0.662452689624405
"57",0.068335641165231,0.664932642399047
"58",0.0680299638313708,0.681144619180465
"59",0.0642036059013885,0.680357701284699
"60",0.0719353500359055,0.681371569569794
"61",0.0671697697757242,0.677451990482501
"62",0.0618228420753735,0.676565213682987
"63",0.0588871775435126,0.670193539229618
"64",0.060857054715713,0.668876446622926
"65",0.0682549823212114,0.667192448111916
"66",0.0733105272776894,0.664764547010857
"67",0.0761411894591271,0.664600693528416
"68",0.0738613890494938,0.6611192000568
"69",0.0704716774328247,0.668721726257812
"70",0.0565167417619202,0.668864637922859
"71",0.0500115986217537,0.676816205685848
"72",0.0486744382381989,0.674133751644396
"73",0.0517455658482843,0.671760908653909
"74",0.0565315005140833,0.671982782768597
"75",0.056529908232293,0.671300934226965
"76",0.0595040937845743,0.676007142419216
"77",0.0633495228090911,0.674030106484626
"78",0.0698308379146952,0.664521084114788
"79",0.0715004383389393,0.65927262650858
"80",0.065881774820549,0.661866398239592
"81",0.0590895887959456,0.66292309244989
"82",0.0578996584949561,0.658251869107812
"83",0.058444634235159,0.656038312360445
"84",0.0562777717456144,0.65540374981738
"85",0.0522002553123988,0.659498925148236
"86",0.0507805812949997,0.658526187229202
"87",0.057112368417956,0.660781088302427
"88",0.066437200940698,0.658245021220581
"89",0.0713526844061797,0.659015732050155
