"","tasa_desocup_m","tasa_participacion_m"
"1",0.148457417313083,0.404908934729545
"2",0.164382266929566,0.372937103909941
"3",0.158660077113625,0.388363257285562
"4",0.138531294654113,0.393841876913399
"5",0.106617569813835,0.410843493316461
"6",0.0982236710766899,0.396533946183368
"7",0.107297362821065,0.396588502433484
"8",0.115168311107745,0.402716654584234
"9",0.13679064610568,0.404608082971941
"10",0.130551859251065,0.415313432407549
"11",0.131465899911718,0.421173049322113
"12",0.139086522439532,0.407652501034231
"13",0.145176502235573,0.39304884948995
"14",0.161588435068495,0.374655175328616
"15",0.141822380209757,0.38774008499693
"16",0.149477212483779,0.391274179406029
"17",0.147266302786602,0.38647639667993
"18",0.155438774578079,0.376698650571792
"19",0.15056084723761,0.37947306449845
"20",0.145660361342947,0.379823129244427
"21",0.148263046242982,0.373041606564331
"22",0.127716800828251,0.389393546107502
"23",0.133582934484654,0.407094445145797
"24",0.118763875820295,0.417117937527899
"25",0.139983232324598,0.396548187552046
"26",0.133490981439353,0.374797481585137
"27",0.157665093181489,0.371920016610896
"28",0.141278363984697,0.374420954499831
"29",0.147080977716908,0.368607062331469
"30",0.141474967420167,0.359757030619552
"31",0.156577011172208,0.352140639132956
"32",0.157233999934141,0.371751640871204
"33",0.13890208398472,0.373646079158248
"34",0.1553500231464,0.389644970456758
"35",0.141984985230016,0.407307099844516
"36",0.146852051822489,0.411213847600461
"37",0.137837702293977,0.403211961611092
"38",0.151980160284474,0.380575447483377
"39",0.159857151072818,0.37416275639069
"40",0.155540355364863,0.36362769034148
"41",0.136080869465507,0.351754771616423
"42",0.142209804389006,0.344116686923863
"43",0.1235073994469,0.333821620399978
"44",0.138714289884111,0.335230556636429
"45",0.142303519957084,0.340115742725247
"46",0.161886403583008,0.342944123981665
"47",0.167368997916165,0.358290211531221
"48",0.161511296057545,0.353444882556912
"49",0.150829684761016,0.370800077214315
"50",0.140839664445277,0.371015763868572
"51",0.155725668371567,0.370058695919146
"52",0.146497041956174,0.359829081018774
"53",0.151623198322826,0.37174381959905
"54",0.150232377230522,0.381559926362724
"55",0.17018570987198,0.383629737448292
"56",0.155350417047744,0.380811359407814
"57",0.14465063252366,0.380665784577966
"58",0.131875501145597,0.407134596558607
"59",0.141989412855408,0.405350692706709
"60",0.110165732042769,0.411116983556158
"61",0.12273667729107,0.411133374824946
"62",0.10926203011011,0.415004068976912
"63",0.114875666437156,0.429074095882763
"64",0.106349281468294,0.426030697677481
"65",0.113023134295825,0.411882769750355
"66",0.122140657051151,0.409627012442508
"67",0.123228288998355,0.407711875476419
"68",0.134959173503373,0.407674845890475
"69",0.114976807952543,0.403826415366164
"70",0.100532286005019,0.412274090762412
"71",0.0874264496962784,0.436007354774324
"72",0.103729623010252,0.419931659940964
"73",0.121032177339858,0.414949712033383
"74",0.137154728945343,0.397218109529501
"75",0.135990643788139,0.416218855893258
"76",0.108001176574607,0.417095084575602
"77",0.102682390612668,0.420235222939579
"78",0.126517842233024,0.405279435985982
"79",0.125056879425219,0.396685395449902
"80",0.116061502716482,0.39186911911736
"81",0.0860047281867445,0.393590735966787
"82",0.0954527192553252,0.391625658186112
"83",0.0935580102237718,0.411072649108602
"84",0.0980107214667547,0.409627793581738
"85",0.112571981202987,0.394826823280452
"86",0.127471410550885,0.392762154745068
"87",0.149016292296537,0.409714892639138
"88",0.153178014387604,0.426044087445228
"89",0.150892583285626,0.421567174701805
